ID,Статистическое время,Средняя скорость ветра(m/s),Нормализованная активная мощность,Средняя температура окружающей среды(°C)
148492,2026-01-25 0:00:00,11.24,0.95,-2.23
148493,2026-01-25 0:10:00,11.13,0.93,-1.94
148494,2026-01-25 0:20:00,12.11,0.99,-0.57
148495,2026-01-25 0:30:00,12.08,0.99,-0.36
148496,2026-01-25 0:40:00,11.35,0.99,-1.15
148497,2026-01-25 0:50:00,10.55,0.94,-3.56
148498,2026-01-25 1:00:00,10.27,0.8,-3.78
148499,2026-01-25 1:10:00,9.93,0.72,-4.64
148500,2026-01-25 1:20:00,7.6,0.38,-4.88
148501,2026-01-25 1:30:00,6.94,0.3,-5.14
148502,2026-01-25 1:40:00,7.81,0.47,-5.19
148503,2026-01-25 1:50:00,8.61,0.63,-5.39
148504,2026-01-25 2:00:00,7.1,0.4,-5.34
148505,2026-01-25 2:10:00,4.14,0.03,-5.67
148506,2026-01-25 2:20:00,4.83,0.04,-5.8
148507,2026-01-25 2:30:00,5.92,0.14,-6.16
148508,2026-01-25 2:40:00,7.33,0.42,-6.33
148509,2026-01-25 2:50:00,7.3,0.4,-6.39
148510,2026-01-25 3:00:00,6.86,0.28,-5.99
148511,2026-01-25 3:10:00,6.83,0.27,-6
148512,2026-01-25 3:20:00,7.78,0.38,-5.82
148513,2026-01-25 3:30:00,8.01,0.5,-5.43
148514,2026-01-25 3:40:00,9.03,0.68,-4.54
148515,2026-01-25 3:50:00,10.03,0.83,-4.07
148516,2026-01-25 4:00:00,10.23,0.89,-3.97
148517,2026-01-25 4:10:00,10.36,0.9,-3.76
148518,2026-01-25 4:20:00,8.79,0.64,-3.69
148519,2026-01-25 4:30:00,7.4,0.44,-3.64
148520,2026-01-25 4:40:00,7.06,0.35,-4
148521,2026-01-25 4:50:00,7.13,0.35,-3.98
148522,2026-01-25 5:00:00,6.42,0.22,-3.71
148523,2026-01-25 5:10:00,5.61,0.12,-4.14
148524,2026-01-25 5:20:00,5.47,0.11,-4.33
148525,2026-01-25 5:30:00,4.49,0.05,-4.33
148526,2026-01-25 5:40:00,4.92,0.08,-4.34
148527,2026-01-25 5:50:00,6.78,0.27,-4.38
148528,2026-01-25 6:00:00,4.14,0.06,-3.95
148529,2026-01-25 6:10:00,2.46,0.01,-3.58
148530,2026-01-25 6:20:00,2.4,0.01,-3.54
148531,2026-01-25 6:30:00,1.34,0.01,-3.68
148532,2026-01-25 6:40:00,2.51,0.01,-3.73
148533,2026-01-25 6:50:00,4.55,0.04,-3.49
148534,2026-01-25 7:00:00,5.9,0.12,-3.44
148535,2026-01-25 7:10:00,6.27,0.19,-3.38
148536,2026-01-25 7:20:00,7,0.21,-3.48
148537,2026-01-25 7:30:00,7.73,0.37,-3.61
148538,2026-01-25 7:40:00,9.29,0.71,-4.11
148539,2026-01-25 7:50:00,8.87,0.64,-4.28
148540,2026-01-25 8:00:00,8.68,0.61,-4.74
148541,2026-01-25 8:10:00,7.96,0.46,-4.68
148542,2026-01-25 8:20:00,7.56,0.38,-4.96
148543,2026-01-25 8:30:00,6.92,0.28,-4.93
148544,2026-01-25 8:40:00,6.84,0.26,-4.83
148545,2026-01-25 8:50:00,6.7,0.23,-4.32
148546,2026-01-25 9:00:00,6.37,0.17,-4.27
148547,2026-01-25 9:10:00,5.68,0.11,-4.13
148548,2026-01-25 9:20:00,6.48,0.17,-4.18
148549,2026-01-25 9:30:00,5.97,0.13,-4.04
148550,2026-01-25 9:40:00,5.8,0.1,-3.8
148551,2026-01-25 9:50:00,5.82,0.11,-3.54
148552,2026-01-25 10:00:00,5.9,0.11,-3.39
148553,2026-01-25 10:10:00,6.02,0.11,-3.35
148554,2026-01-25 10:20:00,5.96,0.11,-3.17
148555,2026-01-25 10:30:00,5.48,0.07,-2.89
148556,2026-01-25 10:40:00,4.44,0.01,-2.4
148557,2026-01-25 10:50:00,4.24,0.01,-2.12
148558,2026-01-25 11:00:00,3.46,0,-1.6
148559,2026-01-25 11:10:00,4.34,0.01,-1.45
148560,2026-01-25 11:20:00,3.5,0,-1.47
148561,2026-01-25 11:30:00,3.13,0.01,-0.98
148562,2026-01-25 11:40:00,3.12,0.01,-0.59
148563,2026-01-25 11:50:00,3.78,0,-0.65
148564,2026-01-25 12:00:00,3.04,0.01,-0.48
148565,2026-01-25 12:10:00,3.66,0.01,-0.33
148566,2026-01-25 12:20:00,3.99,0.02,-0.41
148567,2026-01-25 12:30:00,4.12,0.02,-0.16
148568,2026-01-25 12:40:00,3.53,0,0.21
148569,2026-01-25 12:50:00,3.49,0,0.44
148570,2026-01-25 13:00:00,3.94,0.01,0.42
148571,2026-01-25 13:10:00,3.01,0,0.66
148572,2026-01-25 13:20:00,2.41,0.01,0.98
148573,2026-01-25 13:30:00,2.52,0.01,1.2
148574,2026-01-25 13:40:00,2.49,0.01,1.58
148575,2026-01-25 13:50:00,2.36,0.01,1.97
148576,2026-01-25 14:00:00,1.68,0.01,2.24
148577,2026-01-25 14:10:00,2.18,0.01,2.41
148578,2026-01-25 14:20:00,1.75,0.01,2.45
148579,2026-01-25 14:30:00,1.78,0.01,2.57
148580,2026-01-25 14:40:00,1.82,0.01,2.42
148581,2026-01-25 14:50:00,2.48,0.01,2.16
148582,2026-01-25 15:00:00,3.26,0.01,1.95
148583,2026-01-25 15:10:00,3.56,0.01,1.72
148584,2026-01-25 15:20:00,3.92,0.02,1.68
148585,2026-01-25 15:30:00,3.6,0.01,1.69
148586,2026-01-25 15:40:00,3.44,0,1.75
148587,2026-01-25 15:50:00,2.06,0.01,1.78
148588,2026-01-25 16:00:00,1.59,0.01,1.76
148589,2026-01-25 16:10:00,1.85,0.01,1.66
148590,2026-01-25 16:20:00,1.94,0.01,1.53
148591,2026-01-25 16:30:00,1.49,0.01,1.55
148592,2026-01-25 16:40:00,1.53,0.01,1.66
148593,2026-01-25 16:50:00,2.99,0.01,1.86
148594,2026-01-25 17:00:00,2.37,0.01,1.8
148595,2026-01-25 17:10:00,2.22,0.01,1.56
148596,2026-01-25 17:20:00,1.57,0.01,1.29
148597,2026-01-25 17:30:00,1.08,0.01,0.97
148598,2026-01-25 17:40:00,1.24,0.01,1.03
148599,2026-01-25 17:50:00,1.33,0.01,0.77
148600,2026-01-25 18:00:00,2,0.01,0.38
148601,2026-01-25 18:10:00,2.09,0.01,0.25
148602,2026-01-25 18:20:00,2.25,0.01,0.12
148603,2026-01-25 18:30:00,2.4,0.01,-0.08
148604,2026-01-25 18:40:00,1.81,0.01,-0.33
148605,2026-01-25 18:50:00,1.35,0.01,-0.48
148606,2026-01-25 19:00:00,1.36,0.01,-0.36
148607,2026-01-25 19:10:00,1.93,0.01,-0.43
148608,2026-01-25 19:20:00,3.19,0.01,-0.72
148609,2026-01-25 19:30:00,4.54,0.02,-0.74
148610,2026-01-25 19:40:00,5.17,0.07,-0.81
148611,2026-01-25 19:50:00,5.37,0.08,-0.73
148612,2026-01-25 20:00:00,5.65,0.1,-0.74
148613,2026-01-25 20:10:00,5.59,0.09,-0.61
