ID,Статистическое время,Средняя скорость ветра(m/s),Нормализованная активная мощность,Средняя температура окружающей среды(°C)
141353,2026-01-25 0:00:00,11.29,0.96,-2.9
141354,2026-01-25 0:10:00,11.17,0.95,-2.48
141355,2026-01-25 0:20:00,12.34,0.99,-0.91
141356,2026-01-25 0:30:00,12.34,0.99,-0.43
141357,2026-01-25 0:40:00,11.6,0.99,-1.15
141358,2026-01-25 0:50:00,10.96,0.98,-3.74
141359,2026-01-25 1:00:00,10.75,0.9,-4.02
141360,2026-01-25 1:10:00,11.36,0.95,-4.71
141361,2026-01-25 1:20:00,8.15,0.49,-4.98
141362,2026-01-25 1:30:00,6.94,0.33,-5.23
141363,2026-01-25 1:40:00,7.68,0.49,-5.29
141364,2026-01-25 1:50:00,8.33,0.67,-5.36
141365,2026-01-25 2:00:00,7.54,0.5,-5.33
141366,2026-01-25 2:10:00,5.13,0.12,-5.59
141367,2026-01-25 2:20:00,5.34,0.12,-5.73
141368,2026-01-25 2:30:00,5.9,0.18,-6
141369,2026-01-25 2:40:00,7.53,0.48,-6.11
141370,2026-01-25 2:50:00,6.79,0.37,-6.31
141371,2026-01-25 3:00:00,6.42,0.27,-5.88
141372,2026-01-25 3:10:00,6.97,0.32,-5.91
141373,2026-01-25 3:20:00,7.67,0.49,-5.81
141374,2026-01-25 3:30:00,8.23,0.55,-5.43
141375,2026-01-25 3:40:00,8.42,0.62,-4.68
141376,2026-01-25 3:50:00,9.25,0.72,-4.39
141377,2026-01-25 4:00:00,8.94,0.72,-4.26
141378,2026-01-25 4:10:00,9.91,0.81,-4.07
141379,2026-01-25 4:20:00,8.38,0.59,-3.94
141380,2026-01-25 4:30:00,7.41,0.42,-4.1
141381,2026-01-25 4:40:00,7.33,0.4,-4.05
141382,2026-01-25 4:50:00,7.19,0.38,-3.75
141383,2026-01-25 5:00:00,6.66,0.29,-3.94
141384,2026-01-25 5:10:00,5.3,0.1,-4.18
141385,2026-01-25 5:20:00,4.77,0.07,-4.22
141386,2026-01-25 5:30:00,3.76,0.04,-4.13
141387,2026-01-25 5:40:00,4.66,0.07,-4.1
141388,2026-01-25 5:50:00,6.37,0.22,-4.28
141389,2026-01-25 6:00:00,4.33,0.08,-3.97
141390,2026-01-25 6:10:00,2.51,0.01,-3.48
141391,2026-01-25 6:20:00,2.24,0.01,-3.35
141392,2026-01-25 6:30:00,2.06,0.01,-3.58
141393,2026-01-25 6:40:00,2.87,0.01,-3.6
141394,2026-01-25 6:50:00,4.11,0.02,-3.31
141395,2026-01-25 7:00:00,5.77,0.12,-3.26
141396,2026-01-25 7:10:00,6.13,0.2,-3.23
141397,2026-01-25 7:20:00,6.48,0.2,-3.31
141398,2026-01-25 7:30:00,7.48,0.34,-3.51
141399,2026-01-25 7:40:00,9.49,0.71,-4
141400,2026-01-25 7:50:00,8.51,0.58,-4.23
141401,2026-01-25 8:00:00,8.21,0.55,-4.71
141402,2026-01-25 8:10:00,7.73,0.46,-4.59
141403,2026-01-25 8:20:00,7.22,0.37,-4.84
141404,2026-01-25 8:30:00,6.81,0.26,-4.81
141405,2026-01-25 8:40:00,6.69,0.25,-4.78
141406,2026-01-25 8:50:00,6.59,0.23,-4.67
141407,2026-01-25 9:00:00,6.26,0.19,-4.18
141408,2026-01-25 9:10:00,6.05,0.12,-3.73
141409,2026-01-25 9:20:00,6.39,0.17,-3.97
141410,2026-01-25 9:30:00,5.88,0.15,-3.89
141411,2026-01-25 9:40:00,5.86,0.13,-3.69
141412,2026-01-25 9:50:00,5.97,0.12,-3.46
141413,2026-01-25 10:00:00,5.72,0.11,-3.28
141414,2026-01-25 10:10:00,5.57,0.1,-3.2
141415,2026-01-25 10:20:00,5.84,0.11,-3.05
141416,2026-01-25 10:30:00,4.88,0.05,-2.71
141417,2026-01-25 10:40:00,3.62,0.02,-2.08
141418,2026-01-25 10:50:00,2.69,0.01,-1.18
141419,2026-01-25 11:00:00,2.83,0.01,-1.71
141420,2026-01-25 11:10:00,2.59,0,-1.47
141421,2026-01-25 11:20:00,2.33,0.01,-1.08
141422,2026-01-25 11:30:00,2.5,0.01,-0.78
141423,2026-01-25 11:40:00,2.55,0.01,-0.41
141424,2026-01-25 11:50:00,2.95,0.01,-0.37
141425,2026-01-25 12:00:00,2.89,0.01,-0.4
141426,2026-01-25 12:10:00,3.17,0.01,-0.17
141427,2026-01-25 12:20:00,3.4,0.01,-0.14
141428,2026-01-25 12:30:00,3.67,0.01,0.05
141429,2026-01-25 12:40:00,2.54,0.01,0.53
141430,2026-01-25 12:50:00,2.92,0.01,0.6
141431,2026-01-25 13:00:00,3.22,0.01,0.58
141432,2026-01-25 13:10:00,2.86,0.01,0.76
141433,2026-01-25 13:20:00,2.37,0.01,1
141434,2026-01-25 13:30:00,2.3,0.01,1.28
141435,2026-01-25 13:40:00,2.63,0.01,1.7
141436,2026-01-25 13:50:00,2.32,0.01,2.06
141437,2026-01-25 14:00:00,1.78,0.01,2.38
141438,2026-01-25 14:10:00,2.19,0.01,2.39
141439,2026-01-25 14:20:00,1.67,0.01,2.44
141440,2026-01-25 14:30:00,1.62,0.01,2.59
141441,2026-01-25 14:40:00,1.92,0.01,2.42
141442,2026-01-25 14:50:00,1.94,0.01,2.39
141443,2026-01-25 15:00:00,2.71,0.01,2.25
141444,2026-01-25 15:10:00,3.62,0.01,1.97
141445,2026-01-25 15:20:00,3.51,0.01,1.9
141446,2026-01-25 15:30:00,2.95,0.01,1.91
141447,2026-01-25 15:40:00,2.99,0.01,1.92
141448,2026-01-25 15:50:00,1.63,0.01,1.99
141449,2026-01-25 16:00:00,1.51,0.01,1.91
141450,2026-01-25 16:10:00,1.73,0.01,1.8
141451,2026-01-25 16:20:00,1.68,0.01,1.73
141452,2026-01-25 16:30:00,1.6,0.01,1.7
141453,2026-01-25 16:40:00,1.55,0.01,1.81
141454,2026-01-25 16:50:00,3.32,0.01,1.97
141455,2026-01-25 17:00:00,3.48,0.01,1.97
141456,2026-01-25 17:10:00,2.89,0.01,1.81
141457,2026-01-25 17:20:00,2.49,0.01,1.6
141458,2026-01-25 17:30:00,1.21,0.01,1.3
141459,2026-01-25 17:40:00,1.39,0.01,1.15
141460,2026-01-25 17:50:00,1.36,0.01,0.96
141461,2026-01-25 18:00:00,2.1,0.01,0.61
141462,2026-01-25 18:10:00,2.07,0.01,0.53
141463,2026-01-25 18:20:00,2.25,0.01,0.41
141464,2026-01-25 18:30:00,2.28,0.01,0.16
141465,2026-01-25 18:40:00,2.27,0.01,-0.04
141466,2026-01-25 18:50:00,1.71,0.01,-0.15
141467,2026-01-25 19:00:00,1.67,0.01,-0.2
141468,2026-01-25 19:10:00,1.63,0.01,-0.32
141469,2026-01-25 19:20:00,2.87,0.01,-0.47
141470,2026-01-25 19:30:00,3.99,0.02,-0.55
141471,2026-01-25 19:40:00,4.78,0.08,-0.61
141472,2026-01-25 19:50:00,5.23,0.09,-0.49
141473,2026-01-25 20:00:00,5.57,0.12,-0.5
141474,2026-01-25 20:10:00,5.69,0.11,-0.33
141475,2026-01-25 20:20:00,5.25,0.1,-0.56
141476,2026-01-25 20:30:00,6.04,0.15,-0.68
141477,2026-01-25 20:40:00,6.33,0.2,-0.86
141478,2026-01-25 20:50:00,6.13,0.21,-1.3
141479,2026-01-25 21:00:00,6,0.2,-2.05
141480,2026-01-25 21:10:00,5.83,0.16,-2.66
141481,2026-01-25 21:20:00,6.14,0.22,-3.08
141482,2026-01-25 21:30:00,5.5,0.1,-3.38
141483,2026-01-25 21:40:00,6.78,0.25,-3.6
141484,2026-01-25 21:50:00,6.87,0.28,-3.86
141485,2026-01-25 22:00:00,6.56,0.27,-4.01
141486,2026-01-25 22:10:00,6.68,0.3,-4.24
141487,2026-01-25 22:20:00,6.54,0.22,-4.27
141488,2026-01-25 22:30:00,6.08,0.22,-4.3
141489,2026-01-25 22:40:00,7.82,0.51,-4.38
141490,2026-01-25 22:50:00,7.42,0.5,-4.33
141491,2026-01-25 23:00:00,8.3,0.65,-4.31
141492,2026-01-25 23:10:00,7.89,0.6,-4.23
141493,2026-01-25 23:20:00,9.55,0.81,-3.69
141494,2026-01-25 23:30:00,9.86,0.88,-3.49
141495,2026-01-25 23:40:00,7.83,0.57,-3.44
141496,2026-01-25 23:50:00,5.45,0.15,-3.5
141497,2026-01-26 0:00:00,5.92,0.19,-3.65
141498,2026-01-26 0:10:00,6.51,0.25,-3.86
141499,2026-01-26 0:20:00,6.48,0.29,-3.93
141500,2026-01-26 0:30:00,6.8,0.34,-4.02
141501,2026-01-26 0:40:00,6.42,0.28,-3.87
141502,2026-01-26 0:50:00,6.26,0.26,-4.34
141503,2026-01-26 1:00:00,6.24,0.25,-4.81
141504,2026-01-26 1:10:00,6.81,0.32,-5.17
141505,2026-01-26 1:20:00,5.79,0.19,-5.11
141506,2026-01-26 1:30:00,6.06,0.2,-5.04
141507,2026-01-26 1:40:00,5.8,0.18,-4.95
141508,2026-01-26 1:50:00,6.15,0.23,-4.89
